33094	6	30114	720	1264
15429	3	27986	367	4114
24429	4	7492	702	4978
10636	0	28683	667	2335
24170	3	3892	795	3209
2751	3	14724	761	2542
28178	3	3752	556	855
16299	2	12418	748	5191
18490	3	4213	604	2078
18933	3	5591	612	121
25870	4	19227	725	5191
28225	3	5089	493	4343
10497	3	4533	96	2708
24372	6	12715	673	2272
17220	4	17620	764	2272
14787	4	14733	740	3810
809	5	21729	739	2272
15718	2	30437	742	5191
34477	3	14724	761	3810
16213	3	21353	656	4840
14957	3	31086	415	1032
19344	5	13372	709	2334
5799	2	25316	763	5191
2877	3	33811	606	1350
27597	3	5081	357	4327
31990	4	10392	724	4731
28398	0	21959	759	1963
33714	3	5272	518	4837
33897	3	3818	356	1835
23586	6	19559	664	1852
9191	6	12682	765	1068
19478	5	420	748	2272
28245	3	4340	556	3055
16856	3	4983	362	2185
29431	3	4698	80	596
15676	5	30706	715	5435
34280	6	20033	744	3066
27224	3	16949	275	4701
24768	0	32093	718	5187
33150	6	30133	715	1730
12874	6	10173	690	3219
27423	5	15817	755	2272
33928	3	6913	557	5090
33775	3	27979	398	2072
8320	3	28488	888	3629
32045	5	30256	723	2375
16404	3	22676	736	3702
26958	5	22510	721	450
33338	0	12803	662	3524
20975	3	5514	279	2960
32410	3	4367	831	2305
25027	4	31720	763	2272
20893	3	4609	578	186
23760	6	33439	752	2272
20855	3	5121	230	2334
1636	3	4500	579	1673
8313	2	14567	755	5191
10076	3	14724	761	3810
29551	4	19743	716	2272
32743	5	30860	683	4729
31532	5	22666	686	3472
24342	3	27859	554	3230
11517	0	5750	680	1091
7526	3	5530	776	5576
23092	3	3655	285	5648
29643	5	7488	726	2186
13023	5	34005	763	2272
23371	5	32285	760	2334
25862	3	28666	504	4344
18826	3	22954	745	3635
26747	3	3987	372	4918
7465	2	21619	757	5191
15233	4	34563	745	1227
8393	0	33446	759	3828
25218	3	14724	752	1636
24887	3	3932	502	1312
1466	4	18304	721	2334
2319	3	5613	363	2011
10338	4	29148	749	1634
33435	2	14040	750	2186
1654	3	28204	346	2913
20050	3	31590	551	1876
9458	6	18845	741	2334
33780	3	5510	399	5489
11936	4	2224	744	4756
6980	3	4040	465	1639
32051	4	21276	718	2375
19692	3	11158	762	1375
25506	2	31085	680	5191
29628	3	27861	555	3896
33599	0	13177	767	2326
29042	2	230	437	1841
16128	3	22851	684	2001
11753	4	7983	742	2254
33193	3	14724	752	2542
22430	3	3431	685	64
29408	3	27078	161	322
29763	4	11695	752	2272
20677	6	19684	768	5126
32827	0	22488	698	4723
18063	5	32398	729	2375
2136	4	8430	715	3641
12354	0	29502	758	3728
15934	2	22351	753	5191
7314	3	5060	846	4279
21585	3	14724	761	5029
11082	6	24294	718	2334
28726	2	31244	634	5187
19347	5	18162	674	1730
33685	6	28621	750	1018
17368	5	2767	699	4756
7363	3	5032	520	231
34135	3	16949	275	2423
10941	3	14724	752	3810
25076	3	4819	643	4686
6971	3	4783	464	2321
32098	0	21962	764	4633
25898	3	5334	40	5026
13319	3	3735	677	1921
10291	4	2063	737	3913
552	3	10831	749	2470
20920	3	22915	740	379
22515	3	4276	658	1763
2725	4	11956	723	2272
28500	5	9174	718	2272
19858	5	30585	715	2301
21149	3	3987	372	2375
22250	2	9354	732	3528
7971	3	4931	603	1935
23891	3	5440	486	1650
18512	2	8461	721	3913
21897	6	34458	717	2272
15212	5	24799	765	2272
33831	5	24327	756	5191
14379	4	467	745	2272
28430	3	1219	587	113
27432	5	2908	697	2272
27508	3	14724	761	5029
17873	0	26109	751	3261
9822	2	24569	762	818
32864	5	22043	757	2272
20649	3	3892	795	1237
21225	3	6344	749	2317
16900	4	33511	750	5187
17297	2	16419	758	2272
7771	3	7001	520	5281
16456	2	269	707	348
12870	3	5643	682	4514
34002	2	23504	729	2325
1121	3	26059	812	5076
26087	3	29175	731	4852
1074	5	8440	766	450
32653	5	16956	723	2272
20441	4	21631	685	3472
19427	4	11222	720	4216
19244	5	24531	732	2186
1566	3	5566	759	5635
17199	5	19628	733	2272
13382	4	28196	758	2272
1814	6	20678	742	2325
16263	3	9857	659	1207
15733	2	30922	672	1014
10940	3	27	669	2057
24333	0	19024	760	4131
34343	5	19867	766	2272
25077	5	5927	734	5191
13082	2	6311	749	5187
13136	0	2232	765	21
15945	4	33935	755	5191
22712	0	17765	764	446
31677	3	4226	607	1350
23084	2	30592	726	1841
549	6	15168	695	2272
24111	3	4967	523	4029
2410	3	4928	580	3930
10546	3	4505	505	4616
1548	3	3409	623	2535
12582	3	24873	577	671
19881	3	4571	555	2814
34440	3	5344	772	5044
20114	3	26059	812	56
1776	6	25213	761	2272
18086	3	11319	659	1730
17669	4	10080	732	2375
7302	4	31483	706	3219
824	3	8159	685	3618
2228	4	32308	705	4870
1239	6	30818	725	1730
33592	5	19559	664	1852
19347	4	388	696	3219
16987	3	28364	590	5209
16625	3	5233	459	4761
31630	3	5409	604	5250
2608	3	27826	404	1121
5828	2	30216	668	260
812	4	21182	748	2272
12477	4	21507	698	3219
13661	5	8028	703	1063
31688	3	28051	405	5401
19136	3	5233	459	4761
18076	3	5162	359	1868
18913	3	4403	756	4756
20867	5	21125	765	2272
7499	4	5990	686	2272
8393	0	24193	761	2905
11035	3	27880	337	2027
13585	3	4973	542	3262
23180	3	5430	603	5298
28089	3	4246	55	2236
26678	5	18287	767	2272
8332	2	11823	765	5191
28254	3	5255	402	4806
16684	3	4549	572	1014
21982	3	17899	497	5207
12249	3	4073	688	1730
15281	3	9857	659	1410
19354	3	5099	600	1989
34573	3	3976	666	1427
10273	0	18136	742	3617
11097	3	20874	657	3209
17048	5	24177	725	2272
26764	5	26481	768	2272
12585	3	4549	572	4913
14882	6	22576	757	450
15986	3	4909	504	2564
11500	4	30154	711	2334
29514	6	7513	753	3066
21093	3	26059	812	1506
24652	4	17544	726	2226
8904	2	21432	739	5191
1513	3	3533	861	555
607	3	28323	606	2763
20059	4	18205	679	1063
11393	3	24944	345	4734
12767	5	23246	739	450
16153	3	22865	686	717
15005	2	7805	704	1544
17052	5	10445	731	2272
13941	3	12925	686	702
11461	3	29686	610	1240
25446	0	31152	761	2954
15334	2	29876	707	5187
15947	6	18494	743	2186
18753	3	28329	604	3169
28882	4	7863	744	5191
1743	3	14724	761	2542
25799	3	3729	603	3961
8250	3	33191	609	455
15858	6	8504	737	1066
14787	4	14733	740	4756
33912	6	12379	730	5191
7781	0	33375	647	4855
31472	1	32382	759	348
25098	5	24618	762	2272
10974	3	3364	686	470
32516	3	3713	125	5302
13161	3	4416	371	2375
31866	5	8324	704	260
11055	3	5291	50	2005
16701	3	4485	589	5283
9458	6	18845	741	5153
9986	2	30991	719	5191
19114	3	4648	551	4731
11859	5	5984	688	2272
3008	3	14724	761	5029
22299	2	30007	614	2267
3212	3	3499	34	5126
479	4	24245	759	2272
25349	3	33191	609	4805
12192	3	4511	401	2807
24726	3	5432	297	3902
16610	0	23289	625	720
15400	6	14719	758	5191
19240	3	9857	659	1198
24867	4	25671	762	2272
6496	2	30362	753	348
11042	4	13529	703	2333
25218	3	14724	761	3810
11126	6	3118	740	5435
24059	3	26059	812	306
15802	3	5109	603	4784
14709	3	11961	617	2423
7690	4	231	732	4685
18127	3	5312	619	4462
2290	3	29686	610	1240
34587	3	5398	445	5166
3096	4	13358	724	2272
16408	3	5403	412	5237
2444	3	5459	551	5297
1106	3	14724	761	3810
11063	4	31333	677	3219
9119	3	24932	501	3002
1261	3	22876	743	2899
33042	4	16957	764	2272
29541	3	14724	752	1636
11578	3	2850	502	2138
26273	3	742	660	527
6459	6	2197	720	4324
28240	3	4254	399	2193
29471	3	10925	872	2893
32949	6	26956	736	5191
12389	5	25104	716	2272
33025	4	22570	670	671
20055	6	18162	674	1730
24004	5	30857	745	5187
13139	0	28838	753	4441
19972	5	28739	724	2334
27246	2	32137	750	4306
33620	3	5448	394	5342
21412	6	18536	710	3560
16225	4	14618	749	5191
16492	4	28453	756	2272
21110	5	6943	679	5187
12340	5	14423	708	1955
33775	3	27778	399	296
32554	5	26578	761	2272
18510	3	4798	539	1852
606	3	4080	557	808
23990	3	25495	74	1660
6457	4	10792	707	5594
24070	3	6420	677	4176
33599	0	22122	707	364
24852	2	6882	675	5187
28663	4	14918	755	4532
12558	3	4387	532	2517
12047	4	32226	754	4685
22731	3	11156	536	2334
1640	6	12063	766	2272
22731	3	5249	541	398
3096	4	13345	719	2272
19074	6	12054	751	818
11041	6	1642	745	260
16129	3	19090	688	5351
33214	3	4267	375	2581
27366	3	18974	319	3628
11671	0	22360	668	1050
1568	3	5589	859	479
19474	5	3104	763	2272
14925	3	11203	637	1682
13266	0	22802	767	4756
19797	5	18883	763	2272
762	3	13620	754	58
12162	3	27848	361	506
11097	3	12307	737	23
24777	6	27449	767	450
34460	2	30297	764	1227
33902	4	7490	767	2186
9605	3	6925	659	1730
990	3	5085	304	1584
6304	0	17666	716	5202
31966	6	28492	762	1730
27536	3	4139	294	1858
18942	3	4971	618	708
26651	3	22469	627	121
16456	2	27059	712	348
12514	3	5156	563	3297
15300	3	22350	362	2306
33280	4	6631	756	3066
29516	5	18112	753	3405
29411	5	15457	764	3810
11063	4	18428	681	3219
21406	3	3997	657	2544
8364	0	33837	765	934
18946	3	4502	190	3447
21080	6	12465	753	2283
16760	3	22930	739	3146
